Price,Model Year,Mileage,Eng_Cap,City_Lahore,City_Islamabad,City_Karachi,City_Un-Registered,Eng_Type_Petrol,Eng_Type_Hybrid,Eng_Type_Diesel,Transmission_Manual,Transmission_Automatic,Body_Type_Hatchback,Body_Type_Sedan,Body_Type_SUV,Body_Type_Mini Van,Body_Type_Crossover,Make_Suzuki,Make_Toyota,Make_Honda,Make_Daihatsu,Make_Nissan
4630000.0,2016,51000,1500,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2725000.0,2018,11012,1500,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1875000.0,2015,55000,1500,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
780000.0,2006,156000,1300,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
910000.0,2010,130394,660,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
950000.0,2016,25000,800,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1500000.0,2013,80000,1300,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1500000.0,2018,30000,1000,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1450000.0,2014,32000,660,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
925000.0,2018,50000,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3000000.0,2015,200000,1500,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1595000.0,2016,41000,660,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
650000.0,2006,107602,1300,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2700000.0,1994,117000,4200,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
3025000.0,2018,21000,1600,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
875000.0,2001,100000,1600,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2400000.0,2015,112000,1500,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1725000.0,2010,55000,1800,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3150000.0,2017,45000,1800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
660000.0,2019,6800,660,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2525000.0,2014,29000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3025000.0,2016,75000,1500,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
34300000.0,2016,43200,4608,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
37500000.0,2016,12786,4608,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2200000.0,2010,125000,1800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
4095000.000000001,2016,79736,1800,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1450000.0,2014,65000,660,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3000000.0,2019,31456,1500,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3190000.0,2016,27000,1800,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
725000.0,2007,170000,1300,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1600000.0,2019,21700,1000,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3300000.0,2017,38000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1230000.0,2012,130000,1300,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
660000.0,2000,300000,1500,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
894999.9999999999,2005,76800,660,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1200000.0,2012,120000,660,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
950000.0,2007,100000,700,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
400000.0,1998,950000,1300,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
20000000.0,2011,70000,4608,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
